edge	PearsonCor
ENSDARG00000052894 (geneExprCor) ENSDARG00000004874	0.896931784359161
ENSDARG00000052894 (geneExprCor) ENSDARG00000007601	0.94356314696162
ENSDARG00000052894 (geneExprCor) ENSDARG00000011932	0.859735509418873
ENSDARG00000052894 (geneExprCor) ENSDARG00000014039	0.905648688009578
ENSDARG00000052894 (geneExprCor) ENSDARG00000014209	0.883764295507836
ENSDARG00000052894 (geneExprCor) ENSDARG00000037551	0.927514189265601
ENSDARG00000052894 (geneExprCor) ENSDARG00000037874	0.882261892111183
ENSDARG00000052894 (geneExprCor) ENSDARG00000042683	0.822143782646084
ENSDARG00000052894 (geneExprCor) ENSDARG00000042698	0.864581682475482
ENSDARG00000053301 (geneExprCor) ENSDARG00000004588	0.810970443855537
ENSDARG00000053301 (geneExprCor) ENSDARG00000006003	0.812921088718919
ENSDARG00000053387 (geneExprCor) ENSDARG00000022817	0.820891461058184
ENSDARG00000054272 (geneExprCor) ENSDARG00000027465	0.813568950640053
ENSDARG00000054562 (geneExprCor) ENSDARG00000004588	0.836837985800815
ENSDARG00000054562 (geneExprCor) ENSDARG00000004735	0.802840500271725
ENSDARG00000054562 (geneExprCor) ENSDARG00000005551	0.833652893463007
ENSDARG00000054562 (geneExprCor) ENSDARG00000012820	0.826731362530973
ENSDARG00000054562 (geneExprCor) ENSDARG00000013351	0.846803841875782
ENSDARG00000054562 (geneExprCor) ENSDARG00000019339	0.81855480850372
ENSDARG00000054562 (geneExprCor) ENSDARG00000025847	0.800747073368526
ENSDARG00000054562 (geneExprCor) ENSDARG00000029722	0.806974505921428
ENSDARG00000054562 (geneExprCor) ENSDARG00000035325	0.849890974402268
ENSDARG00000054562 (geneExprCor) ENSDARG00000036161	0.856618860708744
ENSDARG00000054562 (geneExprCor) ENSDARG00000040184	0.855148043736895
ENSDARG00000054562 (geneExprCor) ENSDARG00000040245	0.81112181004048
ENSDARG00000054562 (geneExprCor) ENSDARG00000052856	0.871622651891676
ENSDARG00000055723 (geneExprCor) ENSDARG00000019339	0.816783834677085
ENSDARG00000056387 (geneExprCor) ENSDARG00000000887	0.896790533332385
ENSDARG00000056387 (geneExprCor) ENSDARG00000007601	0.88309984298905
ENSDARG00000056387 (geneExprCor) ENSDARG00000011932	0.865102057775535
